Product name in Flipkart,Retail price in Flipkart,Discounted price in Flipkart,Product id,Product category in Flipkart,Product name in Amazon,Retail price in Amazon,Discounted price in Amazon,Product category,match
Karishma Women's Printed Casual Shirt,1499.0,399.0,SHTDYKJYRSAJVHQH,Clothing,Karishma Women's Printed Casual Shirt,1497,497,Clothing,1
Kuhuk Plastic Bangle Set,2000.0,495.0,BBAEE9CTDERGSGKW,Jewellery,Kuhuk Plastic Bangle Set,1982,564,Jewellery,1
Nirosha Alloy Bangle Set,799.0,149.0,BBAE73VFNENV92GG,Jewellery,Nirosha Alloy Bangle Set,782,178,Jewellery,1
Dinero Women's Solid Casual Shirt,1199.0,499.0,SHTEBGZGQSHFNU6T,Clothing,Dinero Women's Solid Casual Shirt,1190,611,Clothing,1
"Femninora Women's Solid Casual, Formal Shirt",799.0,404.0,SHTE95RBGBFDKVZF,Clothing,"Femninora Women's Solid Casual, Formal Shirt",792,487,Clothing,1
SS Women's Checkered Casual Shirt,799.0,499.0,SHTEAJ5ZRY4QEJ6G,Clothing,SS Women's Checkered Casual Shirt,788,595,Clothing,1
Bedazzle Women's Checkered Casual Shirt,999.0,499.0,SHTEYV3NX7CCHPME,Clothing,Bedazzle Women's Checkered Casual Shirt,990,621,Clothing,1
Oxolloxo Women's Printed Casual Shirt,1095.0,328.0,SHTEYX5HKCRVSDBY,Clothing,Oxolloxo Women's Printed Casual Shirt,1091,386,Clothing,1
Vedika Jewellery Alloy Bangle Set,1299.0,399.0,BBAE9ZGYZGFMTBUZ,Jewellery,Vedika Jewellery Alloy Bangle Set,1283,511,Jewellery,1
Voylla Alloy Cubic Zirconia Yellow Gold Bangle Set,1239.0,483.0,BBAE3CSS6YJZEX8W,Jewellery,Voylla Alloy Cubic Zirconia Yellow Gold Bangle Set,1232,568,Jewellery,1
People Women's Printed Casual Shirt,899.0,629.0,SHTEBTB9NRB87KGZ,Clothing,People Women's Printed Casual Shirt,898,793,Clothing,1
People Women's Solid Casual Shirt,599.0,419.0,SHTEBTB9JZZZKYBD,Clothing,People Women's Solid Casual Shirt,593,538,Clothing,1
Being Fab Women's Striped Casual Shirt,999.0,478.0,SHTE2ZMZJFVWXJ5M,Clothing,Being Fab Women's Striped Casual Shirt,988,594,Clothing,1
Silk Dori Casual Printed Women's Kurti,1299.0,699.0,KRTE8BZKVAMNDPRZ,Clothing,Silk Dori Casual Printed Women's Kurti,1291,880,Clothing,1
From the Ramp Women's Printed Casual Shirt,1499.0,499.0,SHTE8YUNXTKZUWAV,Clothing,From the Ramp Women's Printed Casual Shirt,1495,572,Clothing,1
Alibi By INMARK Women's Solid Casual Shirt,1099.0,435.0,SHTE8E6Y7ZDMQAZH,Clothing,Alibi By INMARK Women's Solid Casual Shirt,1082,538,Clothing,1
"Red Apple Casual, Party, Festive Printed Women's Kurti",3199.0,1625.0,KRTEDSBPDBUPX5GH,Clothing,"Red Apple Casual, Party, Festive Printed Women's Kurti",3196,1865,Clothing,1
Bombay High Women's Solid Formal Shirt,799.0,399.0,SHTE7F94BCBVQFHH,Clothing,Bombay High Women's Solid Formal Shirt,782,451,Clothing,1
Viva Fashions Alloy Cubic Zirconia Rhodium Bangle Set,850.0,850.0,BBAEEYYXBUEGP9GG,Jewellery,Viva Fashions Alloy Cubic Zirconia Rhodium Bangle Set,839,984,Jewellery,1
Jazzup Women's Printed Casual Shirt,1154.0,499.0,SHTE4S26SFEGUW3M,Clothing,Jazzup Women's Printed Casual Shirt,1144,550,Clothing,1
Adt Saral Printed Cushions Cover,250.0,90.0,CPCE6RHH7EKSBV5X,HomeFurnishing,Adt Saral Printed Cushions Cover,241,101,HomeFurnishing,1
Meee Women's Solid Casual Shirt,695.0,347.0,SHTE8GCDEMKSUYHQ,Clothing,Meee Women's Solid Casual Shirt,694,404,Clothing,1
Meira Women's Solid Party Shirt,999.0,499.0,SHTE5YHGZVA9HB2Y,Clothing,Meira Women's Solid Party Shirt,983,580,Clothing,1
Elmo Women's Solid Casual Shirt,999.0,415.0,SHTEB96CRZBXP469,Clothing,Elmo Women's Solid Casual Shirt,984,466,Clothing,1
Dede'S Women's Printed Casual Shirt,1699.0,387.0,SHTE55HGUD8ESUTQ,Clothing,Dede'S Women's Printed Casual Shirt,1688,432,Clothing,1
Goodwill Impex Women's Printed Casual Shirt,1150.0,350.0,SHTE4C5NZC2APTGU,Clothing,Goodwill Impex Women's Printed Casual Shirt,1133,426,Clothing,1
Westhreads Women's Solid Casual Shirt,799.0,499.0,SHTE4G4UY96BX7Y8,Clothing,Westhreads Women's Solid Casual Shirt,795,605,Clothing,1
Bombay High Women's Solid Formal Shirt,799.0,399.0,SHTE7F94GGPNQZCG,Clothing,Bombay High Women's Solid Formal Shirt,779,448,Clothing,1
Entease Women's Solid Casual Shirt,1099.0,499.0,SHTEBZ59QAJGHMHB,Clothing,Entease Women's Solid Casual Shirt,1081,600,Clothing,1
MansiCollections Women's Checkered Casual Shirt,999.0,495.0,SHTEE6XFRRZ83XWB,Clothing,MansiCollections Women's Checkered Casual Shirt,980,571,Clothing,1
"Camy Alloy, Brass 18K Yellow Gold Bangle Set",1046.0,299.0,BBAEDXNPBYGVGBND,Jewellery,"Camy Alloy, Brass 18K Yellow Gold Bangle Set",1035,329,Jewellery,1
Aapti Abstract Cushions Cover,750.0,149.0,CPCECTDWUSGCYB7B,HomeFurnishing,Aapti Abstract Cushions Cover,742,173,HomeFurnishing,1
"Kumi Women's Solid Casual, Festive, Party Shirt",700.0,449.0,SHTE8JG6NPHMGBVG,Clothing,"Kumi Women's Solid Casual, Festive, Party Shirt",696,529,Clothing,1
Voylla Alloy Cubic Zirconia Yellow Gold Bangle Set,1109.0,430.0,BBAE3CSSHZNDYFCX,Jewellery,Voylla Alloy Cubic Zirconia Yellow Gold Bangle Set,1101,509,Jewellery,1
Viva Fashions Alloy Cubic Zirconia Rhodium Bangle Set,850.0,850.0,BBAEEYYXG9X5S9HY,Jewellery,Viva Fashions Alloy Cubic Zirconia Rhodium Bangle Set,838,948,Jewellery,1
Tokyo Talkies Women's Checkered Casual Shirt,749.0,374.0,SHTE8GNBHS4ZZQU4,Clothing,Tokyo Talkies Women's Checkered Casual Shirt,739,446,Clothing,1
Meira Women's Printed Party Reversible Shirt,999.0,499.0,SHTE4Q74EEHQJZQB,Clothing,Meira Women's Printed Party Reversible Shirt,990,645,Clothing,1
"Vaishali Bindi and Bangles Brass, Copper Bangle Set",649.0,249.0,BBAEDVQEXHMCDBGS,Jewellery,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",631,322,Jewellery,1
Adhira Alloy Yellow Gold Bangle Set,1596.0,299.0,BBAE5W98UMWFFCJR,Jewellery,Adhira Alloy Yellow Gold Bangle Set,1593,359,Jewellery,1
Anasazi Women's Paisley Casual Shirt,499.0,225.0,SHTE7HGYGYWSBQGC,Clothing,Anasazi Women's Paisley Casual Shirt,491,275,Clothing,1
"Hypernation Women's Solid Casual, Party Shirt",1799.0,499.0,SHTEYQHGTFHGB3K6,Clothing,"Hypernation Women's Solid Casual, Party Shirt",1798,616,Clothing,1
Candies by Pantaloons Casual Sleeveless Solid Women's Top,899.0,494.0,TOPEBH65ABYPD859,Clothing,Candies by Pantaloons Casual Sleeveless Solid Women's Top,883,600,Clothing,1
Vedika Jewellery Alloy Bangle Set,1299.0,399.0,BBAE9ZGYJUGZXCKW,Jewellery,Vedika Jewellery Alloy Bangle Set,1291,518,Jewellery,1
Concepts Women's Printed Casual Shirt,1099.0,379.0,SHTE8GVYSVMRYZYT,Clothing,Concepts Women's Printed Casual Shirt,1088,447,Clothing,1
Blueberry Metal Bangle Set,649.0,649.0,BBAEDGFYBGYZHXA3,Jewellery,Blueberry Metal Bangle Set,637,761,Jewellery,1
Tokyo Talkies Women's Printed Casual Shirt,949.0,474.0,SHTE9794ZGTKHX4D,Clothing,Tokyo Talkies Women's Printed Casual Shirt,930,599,Clothing,1
House Of Tantrums Women's Solid Casual Shirt,599.0,419.0,SHTE3HGETNXH7HDB,Clothing,House Of Tantrums Women's Solid Casual Shirt,595,507,Clothing,1
People Women's Geometric Print Casual Shirt,699.0,349.0,SHTEAUZ9YQVZXVHV,Clothing,People Women's Geometric Print Casual Shirt,690,429,Clothing,1
Dhrohar Women's Solid Casual Shirt,1499.0,499.0,SHTE7HGFUJZVKFU5,Clothing,Dhrohar Women's Solid Casual Shirt,1488,583,Clothing,1
Wecart Alloy Crystal Rose Gold Bangle Set,899.0,199.0,BBAEAN9SF6A38UKD,Jewellery,Wecart Alloy Crystal Rose Gold Bangle Set,893,244,Jewellery,1
Fille Divin Women's Printed Casual Shirt,1049.0,499.0,SHTEAZ4XNEFZVFSZ,Clothing,Fille Divin Women's Printed Casual Shirt,1045,552,Clothing,1
"Hypernation Women's Solid Casual, Party Shirt",1799.0,499.0,SHTEYQHGTAC7HVF5,Clothing,"Hypernation Women's Solid Casual, Party Shirt",1797,614,Clothing,1
Fabpoppy Women's Solid Casual Shirt,975.0,355.0,SHTE9PM7FAPFKHNR,Clothing,Fabpoppy Women's Solid Casual Shirt,962,426,Clothing,1
Sukkhi Brass Yellow Gold Bangle Set,1797.0,449.0,BBAE4T44SV3YPEBQ,Jewellery,Sukkhi Brass Yellow Gold Bangle Set,1792,522,Jewellery,1
Voylla Alloy Crystal Yellow Gold Bangle,1759.0,371.0,BBAE4PWDWUHFWFME,Jewellery,Voylla Alloy Crystal Yellow Gold Bangle,1749,438,Jewellery,1
Desigrrrl Women's Printed Casual Shirt,995.0,485.0,SHTE5J37BSFYFEW3,Clothing,Desigrrrl Women's Printed Casual Shirt,983,570,Clothing,1
"Stop To Start by Shoppers Stop Women's Self Design Casual, Formal Shirt",799.0,479.0,SHTE6P4ENYZFZVAE,Clothing,"Stop To Start by Shoppers Stop Women's Self Design Casual, Formal Shirt",790,622,Clothing,1
Orange Plum Women's Solid Casual Shirt,1499.0,449.0,SHTE4BPAHFHDQP9R,Clothing,Orange Plum Women's Solid Casual Shirt,1488,568,Clothing,1
Bombay High Women's Solid Casual Shirt,999.0,499.0,SHTDXDM4QY59UHZR,Clothing,Bombay High Women's Solid Casual Shirt,989,577,Clothing,1
"Vaishali Bindi and Bangles Brass, Copper Bangle Set",649.0,249.0,BBAEDVQEPDVQPFWD,Jewellery,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",639,314,Jewellery,1
People Women's Checkered Formal Shirt,799.0,400.0,SHTECY54XAHGVJ7K,Clothing,People Women's Checkered Formal Shirt,794,456,Clothing,1
"Vaishali Bindi and Bangles Brass, Copper Bangle Set",999.0,399.0,BBAEDVQFRG4ZS5GB,Jewellery,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",984,443,Jewellery,1
Femella Women's Solid Casual Shirt,850.0,374.0,SHTE6WPDKH9ZPDZE,Clothing,Femella Women's Solid Casual Shirt,831,467,Clothing,1
DeDe'S Women's Solid Casual Shirt,1399.0,387.0,SHTE4CNCEMRZVBEH,Clothing,DeDe'S Women's Solid Casual Shirt,1389,468,Clothing,1
University Trendz Alloy Bangle Set,999.0,349.0,BBAEDV4ZHX5SEYHF,Jewellery,University Trendz Alloy Bangle Set,986,434,Jewellery,1
Aussehen Women's Solid Casual Shirt,699.0,499.0,SHTEFGGXSUAHUNVY,Clothing,Aussehen Women's Solid Casual Shirt,691,616,Clothing,1
Mayra Women's Solid Casual Shirt,1195.0,499.0,SHTECGNBWSZDT8CZ,Clothing,Mayra Women's Solid Casual Shirt,1187,609,Clothing,1
Gene Shoppiee Metal Bangle,599.0,119.0,BBAECPQAHY5U8C9D,Jewellery,Gene Shoppiee Metal Bangle,593,146,Jewellery,1
Eves Pret A Porter Women's Checkered Casual Shirt,1500.0,499.0,SHTEATTVQZYMJDYQ,Clothing,Eves Pret A Porter Women's Checkered Casual Shirt,1493,553,Clothing,1
Aardee Women's Printed Casual Shirt,599.0,359.0,SHTE6Z7AHX8VZSGS,Clothing,Aardee Women's Printed Casual Shirt,583,447,Clothing,1
Kasturi Women's Checkered Casual Shirt,1699.0,499.0,SHTEAVBVXRASR5HG,Clothing,Kasturi Women's Checkered Casual Shirt,1698,554,Clothing,1
Being Fab Women's Solid Casual Shirt,1099.0,404.0,SHTE6GKKZMEBVS5M,Clothing,Being Fab Women's Solid Casual Shirt,1087,457,Clothing,1
Bedazzle Women's Animal Print Casual Shirt,1200.0,399.0,SHTE6GEJRVEYCJQV,Clothing,Bedazzle Women's Animal Print Casual Shirt,1182,494,Clothing,1
JANKI JEWELLERS Alloy Pearl Rhodium Bangle Set,2999.0,499.0,BBAEBFYNTJ2HSH7K,Jewellery,JANKI JEWELLERS Alloy Pearl Rhodium Bangle Set,2995,639,Jewellery,1
Tokyo Talkies Women's Printed Casual Shirt,649.0,324.0,SHTE6SEMFZTCW3NK,Clothing,Tokyo Talkies Women's Printed Casual Shirt,633,383,Clothing,1
Seeyaar Women's Striped Casual Shirt,699.0,399.0,SHTEBYV9VYHQPV9Z,Clothing,Seeyaar Women's Striped Casual Shirt,691,493,Clothing,1
I Am For You Women's Solid Party Shirt,799.0,360.0,SHTDUS8RJ7ZBDSBK,Clothing,I Am For You Women's Solid Party Shirt,783,447,Clothing,1
"Vaishali Bindi and Bangles Brass, Copper Bangle Set",649.0,249.0,BBAEDVQF2AHAJQEN,Jewellery,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",631,280,Jewellery,1
Gudluk Women's Solid Casual Shirt,799.0,499.0,SHTE4STJVRHGUDPK,Clothing,Gudluk Women's Solid Casual Shirt,793,573,Clothing,1
Voylla Alloy Crystal Yellow Gold Bangle,1829.0,455.0,BBAE4PWDFAHCWZ8Q,Jewellery,Voylla Alloy Crystal Yellow Gold Bangle,1809,508,Jewellery,1
Being Fab Women's Solid Casual Shirt,1099.0,349.0,SHTE6GKKVERSCHCH,Clothing,Being Fab Women's Solid Casual Shirt,1079,439,Clothing,1
Shopper Tree Women's Solid Casual Shirt,845.0,422.0,SHTE4CNDUJH8XFKX,Clothing,Shopper Tree Women's Solid Casual Shirt,826,481,Clothing,1
Karishma Women's Printed Casual Shirt,1499.0,299.0,SHTDYKJYZWJQEJK9,Clothing,Karishma Women's Printed Casual Shirt,1492,362,Clothing,1
Adhaans Women's Printed Casual Shirt,1099.0,449.0,SHTE8H95ZHYJ9TCW,Clothing,Adhaans Women's Printed Casual Shirt,1084,535,Clothing,1
Cocktail Copper Cubic Zirconia Copper Bangle Set,1699.0,349.0,BBAE8HKQYYNN4ZG3,Jewellery,Cocktail Copper Cubic Zirconia Copper Bangle Set,1690,398,Jewellery,1
Lee Cooper Women's Checkered Casual Shirt,899.0,404.0,SHTDVHKPPMUFYH6D,Clothing,Lee Cooper Women's Checkered Casual Shirt,880,500,Clothing,1
Karishma Women's Solid Formal Shirt,999.0,399.0,SHTDXXKFYPQ4ANVV,Clothing,Karishma Women's Solid Formal Shirt,986,506,Clothing,1
House Of Tantrums Women's Printed Casual Shirt,599.0,419.0,SHTE7RFFYVHGXGMW,Clothing,House Of Tantrums Women's Printed Casual Shirt,594,497,Clothing,1
Amore Abstract Cushions Cover,349.0,149.0,CPCEYW2TCDZ9TZZA,HomeFurnishing,Amore Abstract Cushions Cover,334,166,HomeFurnishing,1
Aussehen Women's Solid Casual Shirt,599.0,499.0,SHTEFHF74JUN98HU,Clothing,Aussehen Women's Solid Casual Shirt,579,636,Clothing,1
Nineteen Women's Striped Casual Shirt,899.0,405.0,SHTE773YQ5FEHQDJ,Clothing,Nineteen Women's Striped Casual Shirt,881,509,Clothing,1
"Camy Alloy, Brass, Metal Cubic Zirconia 18K Yellow Gold Bangle Set",1499.0,399.0,BBAECZBMRWGQUKCZ,Jewellery,"Camy Alloy, Brass, Metal Cubic Zirconia 18K Yellow Gold Bangle Set",1490,461,Jewellery,1
Blenni Women's Solid Casual Shirt,1299.0,499.0,SHTE84EANJZC4WHF,Clothing,Blenni Women's Solid Casual Shirt,1297,604,Clothing,1
Nineteen Women's Checkered Casual Shirt,1099.0,495.0,SHTE773YUJG54HGR,Clothing,Nineteen Women's Checkered Casual Shirt,1086,566,Clothing,1
F&S Women's Checkered Casual Shirt,799.0,421.0,SHTEBP4ABXAWJRVH,Clothing,F&S Women's Checkered Casual Shirt,793,474,Clothing,1
Bombay High Women's Solid Formal Shirt,1099.0,494.0,SHTDUA8EXAKZDX34,Clothing,Bombay High Women's Solid Formal Shirt,1095,547,Clothing,1
Vedika Jewellery Alloy Bangle Set,1299.0,325.0,BBAE9WX5HK3G3FXJ,Jewellery,Vedika Jewellery Alloy Bangle Set,1286,372,Jewellery,1
My Addiction Women's Printed Casual Shirt,599.0,299.0,SHTDTYYPSUZGKH89,Clothing,My Addiction Women's Printed Casual Shirt,586,338,Clothing,1
"Alpha Lady Women's Printed Casual, Formal Shirt",799.0,379.0,SHTE8SMD9CNJYQEZ,Clothing,"Alpha Lady Women's Printed Casual, Formal Shirt",797,468,Clothing,1
"Camy Alloy, Metal, Brass Cubic Zirconia 18K Yellow Gold Bangle Set",1199.0,299.0,BBAECZBMEB9TAG8Y,Jewellery,"Camy Alloy, Metal, Brass Cubic Zirconia 18K Yellow Gold Bangle Set",1189,367,Jewellery,1
Kiosha Women's Printed Casual Shirt,1399.0,297.0,SHTE8BFQRV6SDRP6,Clothing,Kiosha Women's Printed Casual Shirt,1392,364,Clothing,1
Dressberry Women's Solid Casual Shirt,999.0,499.0,SHTE5EFYW3HTFZGV,Clothing,Dressberry Women's Solid Casual Shirt,980,604,Clothing,1
"Vaishali Bindi and Bangles Brass, Copper Bangle Set",899.0,349.0,BBAEBYRDVHBHFBYK,Jewellery,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",889,453,Jewellery,1
Multiline Company Alloy Bangle Set,2100.0,378.0,BBAE8UJZREYRAQWP,Jewellery,Multiline Company Alloy Bangle Set,2093,441,Jewellery,1
Bombay High Women's Solid Formal Shirt,899.0,449.0,SHTE27TDHB5GRTQN,Clothing,Bombay High Women's Solid Formal Shirt,879,532,Clothing,1
"Kumi Women's Solid Casual, Festive, Party Shirt",700.0,449.0,SHTE8JG6ZZGZ5TYH,Clothing,"Kumi Women's Solid Casual, Festive, Party Shirt",682,536,Clothing,1
My Addiction Women's Solid Casual Shirt,699.0,349.0,SHTDSV7BMYSJNXGG,Clothing,My Addiction Women's Solid Casual Shirt,696,447,Clothing,1
Bombay High Women's Striped Formal Shirt,1099.0,494.0,SHTDXGKKYNYSGKKK,Clothing,Bombay High Women's Striped Formal Shirt,1082,621,Clothing,1
Femella Women's Printed Casual Shirt,990.0,495.0,SHTE6WPDWYCZKEGF,Clothing,Femella Women's Printed Casual Shirt,981,624,Clothing,1
Identiti Women's Polka Print Casual Shirt,999.0,499.0,SHTEFUHG7UGYVH7W,Clothing,Identiti Women's Polka Print Casual Shirt,998,587,Clothing,1
Ethnic Jewels Alloy Yellow Gold Bangle Set,1619.0,323.0,BBAE7AGXWPECCMKF,Jewellery,Ethnic Jewels Alloy Yellow Gold Bangle Set,1601,395,Jewellery,1
Pique Republic Women's Printed Casual Shirt,799.0,499.0,SHTE6BUZ6ESU6ENX,Clothing,Pique Republic Women's Printed Casual Shirt,794,571,Clothing,1
East West Women's Solid Casual Shirt,1599.0,300.0,SHTE546SBNFFMH6M,Clothing,East West Women's Solid Casual Shirt,1598,338,Clothing,1
Dressberry Women's Solid Casual Shirt,799.0,399.0,SHTEY3BTTRDEXAGT,Clothing,Dressberry Women's Solid Casual Shirt,790,440,Clothing,1
Vanity Collection Women's Solid Casual Shirt,799.0,479.0,SHTDXTWUGXGFHQGF,Clothing,Vanity Collection Women's Solid Casual Shirt,795,559,Clothing,1
Smart Home Textile Floral Cushions Cover,350.0,199.0,CPCE7Z3WCGYSGTR3,HomeFurnishing,Smart Home Textile Floral Cushions Cover,341,233,HomeFurnishing,1
Oxolloxo Women's Geometric Print Casual Shirt,1145.0,343.0,SHTE9Q5YHYVZVHE5,Clothing,Oxolloxo Women's Geometric Print Casual Shirt,1127,427,Clothing,1
Dinero Women's Solid Casual Shirt,1199.0,439.0,SHTEBGZGNM9JME3F,Clothing,Dinero Women's Solid Casual Shirt,1187,519,Clothing,1
Colors Couture Women's Polka Print Casual Shirt,899.0,499.0,SHTE6HYNUVRP8YAH,Clothing,Colors Couture Women's Polka Print Casual Shirt,889,591,Clothing,1
Bedazzle Women's Checkered Casual Shirt,999.0,499.0,SHTEFEVDJKHMCFRC,Clothing,Bedazzle Women's Checkered Casual Shirt,998,571,Clothing,1
Lee Cooper Women's Checkered Casual Shirt,899.0,404.0,SHTDZJFVVAGGZCCW,Clothing,Lee Cooper Women's Checkered Casual Shirt,884,498,Clothing,1
Aussehen Women's Solid Casual Shirt,699.0,400.0,SHTEFBPX324BEKVG,Clothing,Aussehen Women's Solid Casual Shirt,682,487,Clothing,1
Anasazi Women's Solid Casual Shirt,669.0,301.0,SHTE7MBTZCGUQDUF,Clothing,Anasazi Women's Solid Casual Shirt,658,367,Clothing,1
"Vaishali Bindi and Bangles Brass, Copper Bangle Set",649.0,249.0,BBAEDVR7GGK2Y7PN,Jewellery,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",639,318,Jewellery,1
Bedazzle Women's Checkered Casual Shirt,1200.0,399.0,SHTE4KBMVKCTGZTE,Clothing,Bedazzle Women's Checkered Casual Shirt,1191,500,Clothing,1
Sukkhi Zinc Rhodium Bangle,1585.0,429.0,BBADVZCAVGHFBJSV,Jewellery,Sukkhi Zinc Rhodium Bangle,1570,477,Jewellery,1
My Addiction Women's Floral Print Casual Shirt,699.0,349.0,SHTDSV7BY27JKMHN,Clothing,My Addiction Women's Floral Print Casual Shirt,687,407,Clothing,1
"Vaishali Bindi and Bangles Brass, Copper Bangle Set",980.0,329.0,BBADZ3KUW4X4QH35,Jewellery,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",963,427,Jewellery,1
Viva Fashions Alloy Cubic Zirconia Rhodium Bangle Set,810.0,810.0,BBAEEYGPRKWRC9HP,Jewellery,Viva Fashions Alloy Cubic Zirconia Rhodium Bangle Set,790,896,Jewellery,1
Wisstler Women's Solid Casual Shirt,799.0,449.0,SHTE9WVSYU9FSUWF,Clothing,Wisstler Women's Solid Casual Shirt,790,576,Clothing,1
Attire By Kapsons Women's Solid Casual Shirt,1749.0,419.0,SHTEDVRXZTRZHDV8,Clothing,Attire By Kapsons Women's Solid Casual Shirt,1738,476,Clothing,1
Species Women's Floral Print Casual Shirt,599.0,359.0,SHTE7YK5YNRAA7R9,Clothing,Species Women's Floral Print Casual Shirt,596,455,Clothing,1
Trend Arrest Women's Printed Casual Shirt,999.0,499.0,SHTEAFZ6GRU2DM9N,Clothing,Trend Arrest Women's Printed Casual Shirt,979,587,Clothing,1
22nd Street Women's Self Design Casual Shirt,649.0,389.0,SHTE5GT3CZ6RJJH2,Clothing,22nd Street Women's Self Design Casual Shirt,634,496,Clothing,1
Cocktail Copper Cubic Zirconia Copper Bangle Set,1399.0,349.0,BBAE8HKQZGTEXPQD,Jewellery,Cocktail Copper Cubic Zirconia Copper Bangle Set,1384,451,Jewellery,1
Bombay High Women's Striped Casual Shirt,999.0,399.0,SHTDUA8CYBFUN4PU,Clothing,Bombay High Women's Striped Casual Shirt,988,483,Clothing,1
Itrendz Women's Printed Casual Shirt,550.0,350.0,SHTE7ZGWXVYN3GZ2,Clothing,Itrendz Women's Printed Casual Shirt,536,415,Clothing,1
Candies by Pantaloons Women's Solid Casual Shirt,899.0,494.0,SHTEAHQZYU37YJUG,Clothing,Candies by Pantaloons Women's Solid Casual Shirt,885,601,Clothing,1
Hermosear Women's Paisley Formal Shirt,1099.0,499.0,SHTE6GYZQTWVYYVA,Clothing,Hermosear Women's Paisley Formal Shirt,1092,619,Clothing,1
"Vaishali Bindi and Bangles Brass, Copper Bangle Set",1380.0,499.0,BBAEYYXAGRHVGG6R,Jewellery,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",1369,561,Jewellery,1
Kasturi Women's Solid Casual Shirt,1699.0,499.0,SHTEAZU6NFYUNDTY,Clothing,Kasturi Women's Solid Casual Shirt,1684,580,Clothing,1
Being Fab Women's Checkered Casual Shirt,899.0,329.0,SHTEYYY4N2GNKWXH,Clothing,Being Fab Women's Checkered Casual Shirt,898,381,Clothing,1
Aardee Women's Solid Casual Shirt,799.0,479.0,SHTE6Z7ATMHVBMMH,Clothing,Aardee Women's Solid Casual Shirt,790,620,Clothing,1
Jazzy Ben Women's Checkered Casual Shirt,1095.0,495.0,SHTE94E9F5UKHFTP,Clothing,Jazzy Ben Women's Checkered Casual Shirt,1090,631,Clothing,1
Ishin Women's Solid Party Shirt,2799.0,499.0,SHTE55GDTXFQZQTY,Clothing,Ishin Women's Solid Party Shirt,2789,592,Clothing,1
Abida Women's Checkered Casual Shirt,899.0,399.0,SHTEC87HZVHXPGKS,Clothing,Abida Women's Checkered Casual Shirt,896,482,Clothing,1
Gudluk Women's Checkered Casual Shirt,799.0,499.0,SHTE4V9ZTYGHSHJS,Clothing,Gudluk Women's Checkered Casual Shirt,781,582,Clothing,1
Mayra Women's Solid Casual Shirt,995.0,499.0,SHTECG6JBQEWQQFH,Clothing,Mayra Women's Solid Casual Shirt,990,570,Clothing,1
Karishma Women's Striped Formal Shirt,999.0,399.0,SHTDZEKGW6AZV9CY,Clothing,Karishma Women's Striped Formal Shirt,996,455,Clothing,1
Ishin Designer Studio Women's Solid Casual Shirt,949.0,499.0,SHTE8W9QPUZSAXFE,Clothing,Ishin Designer Studio Women's Solid Casual Shirt,944,579,Clothing,1
Viva Fashions Alloy Pearl Rhodium Bangle Set,750.0,750.0,BBAEDZHYZMSMVVTY,Jewellery,Viva Fashions Alloy Pearl Rhodium Bangle Set,746,953,Jewellery,1
Tokyo Talkies Women's Printed Casual Shirt,949.0,474.0,SHTE9794DCWXG85H,Clothing,Tokyo Talkies Women's Printed Casual Shirt,932,596,Clothing,1
Blute Women's Striped Casual Shirt,500.0,275.0,SHTE4T6FGDXABBHN,Clothing,Blute Women's Striped Casual Shirt,480,307,Clothing,1
Krizel Trendz Crepe Printed Salwar Suit Dupatta Material,1722.0,499.0,FABEBY83GFHWZJMF,Clothing,Krizel Trendz Crepe Printed Salwar Suit Dupatta Material,1720,549,Clothing,1
Solah Shringar Lac Bangle Set,999.0,999.0,BBAECVGX7ZKEM3UC,Jewellery,Solah Shringar Lac Bangle Set,985,1180,Jewellery,1
Silly People Women's Printed Casual Shirt,599.0,399.0,SHTE94FTTC5DVTKJ,Clothing,Silly People Women's Printed Casual Shirt,597,494,Clothing,1
Teemoods Women's Solid Casual Shirt,999.0,499.0,SHTE7MYZZ3FFJZJF,Clothing,Teemoods Women's Solid Casual Shirt,979,624,Clothing,1
People Women's Solid Casual Shirt,599.0,359.0,SHTEA48RRNQZDXAK,Clothing,People Women's Solid Casual Shirt,594,412,Clothing,1
Jazzy Ben Women's Checkered Casual Shirt,850.0,425.0,SHTE8C98PYTHAZ5T,Clothing,Jazzy Ben Women's Checkered Casual Shirt,843,506,Clothing,1
Mayra Women's Solid Casual Shirt,895.0,499.0,SHTECG6KU2YWWGCG,Clothing,Mayra Women's Solid Casual Shirt,885,593,Clothing,1
Tokyo Talkies Women's Printed Casual Shirt,749.0,374.0,SHTE8P7FPHHDY5FG,Clothing,Tokyo Talkies Women's Printed Casual Shirt,748,460,Clothing,1
Concepts Women's Embroidered Casual Denim Shirt,1099.0,499.0,SHTE8GVYNAJKT5HY,Clothing,Concepts Women's Embroidered Casual Denim Shirt,1097,580,Clothing,1
Dapinc Plastic Bangle Set,1000.0,300.0,BBAECB8FBGJUWWH4,Jewellery,Dapinc Plastic Bangle Set,983,344,Jewellery,1
